,A3A,A3C,A3G,A3T,C3A,C3C,C3G,G3A,G3C,T3A,A4A,A4C,A4G,A4T,C4A,C4C,C4G,G4A,G4C,T4A,A5A,A5C,A5G,A5T,C5A,C5C,C5G,G5A,G5C,T5A,A6A,A6C,A6G,A6T,C6A,C6C,C6G,G6A,G6C,T6A,A7A,A7C,A7G,A7T,C7A,C7C,C7G,G7A,G7C,T7A,A8A,A8C,A8G,A8T,C8A,C8C,C8G,G8A,G8C,T8A,A0A,A0C,A0G,A0T,C0A,C0C,C0G,G0A,G0C,T0A,A1A,A1C,A1G,A1T,C1A,C1C,C1G,G1A,G1C,T1A,A2A,A2C,A2G,A2T,C2A,C2C,C2G,G2A,G2C,T2A,A3A,A3C,A3G,A3T,C3A,C3C,C3G,G3A,G3C,T3A,A4A,A4C,A4G,A4T,C4A,C4C,C4G,G4A,G4C,T4A
hsa:338442,0.09283088,0.125,0.12775736,0.05514706,0.15441176,0.13694853,0.0625,0.14889705,0.067095585,0.029411765,0.09659614,0.1425943,0.13615455,0.040478382,0.11131555,0.14351426,0.07635695,0.13063477,0.064397424,0.057957683,0.1436464,0.10497238,0.10773481,0.049723756,0.10405157,0.16390423,0.08379374,0.10589319,0.08563536,0.050644565,0.09493087,0.1124424,0.14193548,0.05345622,0.14193548,0.12165899,0.06912442,0.15483871,0.078341015,0.031336404,0.09317343,0.14206642,0.14760147,0.036900368,0.1300738,0.13376383,0.06549816,0.12822878,0.07103321,0.051660515,0.12188365,0.118190214,0.11357341,0.051708218,0.10156971,0.17728531,0.07479224,0.11080332,0.07017544,0.06001847,0.52245647,0.47204402,0.7103575,0.28872594,0.8615949,0.8065995,0.1695692,0.7149404,0.3620532,0.091659024,0.54128444,0.6743119,0.66513765,0.19724771,0.55504584,0.61009175,0.4449541,0.7201835,0.35779816,0.23394495,0.6795225,0.47750232,0.53259873,0.29384756,0.49127638,0.94123054,0.37649217,0.5968779,0.35353535,0.25711662,0.46415442,0.625,0.6387868,0.2757353,0.77205884,0.6847426,0.3125,0.74448526,0.33547792,0.14705883,0.48298067,0.71297145,0.6807727,0.20239191,0.55657774,0.7175713,0.38178474,0.65317386,0.32198712,0.28978842
hsa:1812,0.1091997,0.1421092,0.12041885,0.05459985,0.12939416,0.12715034,0.0710546,0.12939416,0.060583394,0.056095738,0.121257484,0.13098802,0.12275449,0.053143714,0.12949102,0.13697605,0.06437126,0.11302395,0.06961078,0.058383234,0.12659176,0.11835206,0.117603,0.05917603,0.11610487,0.15205993,0.0659176,0.12434457,0.062921345,0.05692884,0.1221889,0.12518741,0.104197904,0.064467765,0.13118441,0.13418292,0.074212894,0.13868067,0.061469264,0.044227887,0.11327832,0.13353339,0.12753189,0.053263314,0.13128282,0.12228057,0.06826707,0.11627907,0.074268565,0.060015004,0.13813815,0.10735736,0.13138138,0.0518018,0.10585585,0.1539039,0.06306306,0.123123124,0.068318315,0.057057057,0.5522388,0.53731346,0.7238806,0.2947761,0.8992537,0.75,0.111940295,0.71268654,0.29850745,0.11940299,0.6646752,0.631068,0.716953,0.19417477,0.5489171,0.5937267,0.36967885,0.6161314,0.37714714,0.287528,0.64648736,0.6091181,0.6539612,0.24663678,0.62032884,0.74738413,0.28774288,0.62780267,0.3064275,0.25411063,0.5459985,0.710546,0.60209423,0.27299926,0.6469708,0.6357517,0.355273,0.6469708,0.30291697,0.2804787,0.6062874,0.65494007,0.61377245,0.26571858,0.6474551,0.68488026,0.3218563,0.56511974,0.3480539,0.29191616
hsa:1813,0.06927711,0.13855422,0.11219879,0.053463854,0.14231928,0.15662651,0.08057229,0.15361446,0.0625,0.030873494,0.09118312,0.13639788,0.13790505,0.03089676,0.11831198,0.18085907,0.06782216,0.09947249,0.07837227,0.058779202,0.12518854,0.108597286,0.09954751,0.046757165,0.12066365,0.19457014,0.07918552,0.095776774,0.08748115,0.04223228,0.08603773,0.12679245,0.12528302,0.0445283,0.13735849,0.14415094,0.08301887,0.14867924,0.076981135,0.02716981,0.09214502,0.1389728,0.1397281,0.02794562,0.12688822,0.163142,0.071752265,0.108006045,0.081571,0.049848944,0.123960696,0.094482236,0.108843535,0.04988662,0.09901738,0.20332578,0.0808768,0.11564626,0.080120936,0.043839756,0.3305785,0.608565,0.7062359,0.24417731,0.88279486,0.81142,0.2329076,0.72501874,0.36063108,0.09767093,0.462406,0.65037596,0.65789473,0.18045112,0.5751879,0.7706767,0.43233082,0.63909775,0.40225565,0.2293233,0.5718585,0.5379985,0.58690745,0.21820918,0.47780287,1.0120391,0.39503384,0.5342363,0.39127165,0.2746426,0.34638554,0.6927711,0.56099397,0.26731926,0.71159637,0.78313255,0.40286148,0.7680723,0.3125,0.15436748,0.4559156,0.68198943,0.68952525,0.1544838,0.5915599,0.9042954,0.3391108,0.49736246,0.39186135,0.29389602
hsa:5739,0.05099395,0.10458081,0.115816765,0.019014694,0.097666375,0.22731201,0.12445981,0.12964563,0.11495246,0.015557476,0.046712805,0.10813149,0.11678201,0.019031141,0.1115917,0.23356402,0.11418685,0.113321796,0.11764706,0.019031141,0.07878788,0.081385285,0.101298705,0.024242423,0.07878788,0.2761905,0.116883114,0.097835496,0.117748916,0.026839826,0.041594453,0.10051993,0.10918544,0.029462738,0.10831889,0.24783362,0.1117851,0.11785095,0.112651646,0.020797227,0.042497832,0.10667823,0.13183,0.014744146,0.111882046,0.2272333,0.10928014,0.10147441,0.1283608,0.026019081,0.0703125,0.08506945,0.097222224,0.028645834,0.090277776,0.27430555,0.113715276,0.10069445,0.11631945,0.0234375,0.20689654,0.4051724,0.75431037,0.090517245,0.74568963,1.1767242,0.38793102,0.5172414,0.6767242,0.038793102,0.22864538,0.5565142,0.6816221,0.038826574,0.5047455,1.0353754,0.6169111,0.6169111,0.6212252,0.09922347,0.3540587,0.45336786,0.5397237,0.099309154,0.5051814,1.312608,0.5483592,0.5051814,0.5915371,0.09067357,0.25496975,0.52290404,0.5790838,0.09507347,0.48833188,1.1365601,0.6222991,0.64822817,0.5747623,0.077787384,0.23356402,0.54065746,0.58391005,0.0951557,0.5579585,1.1678201,0.5709343,0.56660897,0.5882353,0.0951557
hsa:9052,0.10747664,0.11775701,0.11495327,0.061682243,0.13364486,0.14205608,0.07196262,0.15046729,0.0635514,0.036448598,0.11225444,0.12441534,0.15060805,0.038353603,0.107577175,0.13470533,0.07109448,0.1290926,0.07390084,0.05799813,0.13483146,0.10486891,0.11985019,0.051498126,0.09644195,0.17509364,0.072097376,0.1329588,0.061797753,0.050561797,0.11715089,0.10684161,0.13589503,0.05154639,0.12558575,0.14058107,0.06654171,0.13776945,0.07591378,0.04217432,0.100375235,0.12382739,0.13789868,0.05065666,0.11163227,0.13602251,0.075046904,0.12007505,0.07786116,0.06660413,0.14366198,0.10892019,0.115492955,0.047887325,0.11173709,0.15492958,0.076995306,0.13239437,0.06948357,0.038497653,0.5778192,0.4799627,0.7875116,0.23765145,0.7688724,0.8154707,0.15377446,0.73159367,0.32618824,0.12115564,0.57369405,0.5970149,0.7882463,0.1772388,0.58302236,0.66697764,0.32182837,0.6623134,0.3777985,0.25186566,0.6956116,0.6022409,0.5975724,0.21008404,0.5835668,0.82633054,0.33613446,0.59290385,0.33146593,0.22408964,0.5373832,0.58878505,0.57476634,0.3084112,0.66822433,0.7102804,0.3598131,0.75233644,0.317757,0.18224299,0.5612722,0.6220767,0.75304025,0.19176802,0.5378859,0.67352664,0.35547242,0.645463,0.3695042,0.28999063
hsa:148,0.08732999,0.13171081,0.1130995,0.047959913,0.119541876,0.1496063,0.09448819,0.13672155,0.07730852,0.042233355,0.079512894,0.1325215,0.13108882,0.042263612,0.12177651,0.16260745,0.07808023,0.124641836,0.076647565,0.0508596,0.10752688,0.1139785,0.09892473,0.05376344,0.112544805,0.18351254,0.08817204,0.10609319,0.08458781,0.050896056,0.08895265,0.13414635,0.10760402,0.04806313,0.13629842,0.17001435,0.07890961,0.13414635,0.06743185,0.034433287,0.08040201,0.12060302,0.13998564,0.04235463,0.1385499,0.1643934,0.06460876,0.11773151,0.085427135,0.045944005,0.114224136,0.11494253,0.10560345,0.04525862,0.1170977,0.17025863,0.08979885,0.114224136,0.08692529,0.041666668,0.47857141,0.4892857,0.7392857,0.21785714,0.7464286,0.8964286,0.23928571,0.69285715,0.3892857,0.11071429,0.5432452,0.6111508,0.6611866,0.16082916,0.578985,0.7433882,0.43959972,0.65403855,0.42530382,0.18227306,0.5758226,0.5686695,0.5722461,0.21101573,0.5114449,0.9549356,0.41130185,0.54363376,0.3969957,0.2539342,0.43664995,0.6585541,0.5654975,0.23979956,0.59770936,0.7480315,0.47244096,0.68360776,0.38654262,0.21116677,0.39756447,0.6626075,0.65544415,0.21131806,0.60888255,0.8130372,0.39040115,0.6232092,0.38323784,0.254298
hsa:153,0.033566434,0.10979021,0.1,0.01888112,0.1006993,0.23706293,0.14055943,0.12027972,0.12587413,0.0132867135,0.035689294,0.10776767,0.1126662,0.012596221,0.10846746,0.2526242,0.12246326,0.08607418,0.13645907,0.025192441,0.068627454,0.070728295,0.084733896,0.028711485,0.075630255,0.31512606,0.12184874,0.087535016,0.12254902,0.024509804,0.028731605,0.103714086,0.10441486,0.022424666,0.106517166,0.2571829,0.12543797,0.11913104,0.11913104,0.013314646,0.036465637,0.099579245,0.117110796,0.014025246,0.100981764,0.27279103,0.11430575,0.103085555,0.12131837,0.020336606,0.077192985,0.072280705,0.08070175,0.025263159,0.08631579,0.2982456,0.12701754,0.08,0.13403508,0.018947368,0.17445919,0.46057224,0.5652477,0.10467551,0.60711795,1.123517,0.6489881,0.53384507,0.73621774,0.045359388,0.18505587,0.5062849,0.60055864,0.05586592,0.5551676,1.2046089,0.6180168,0.47136873,0.70530725,0.097765364,0.37386444,0.3878407,0.46121594,0.09084556,0.3703704,1.512928,0.6254368,0.4437456,0.6254368,0.10831586,0.16783217,0.5489511,0.5,0.0944056,0.50349647,1.1853147,0.7027972,0.6013986,0.6293707,0.066433564,0.17844647,0.5388384,0.563331,0.06298111,0.5423373,1.2631211,0.6123163,0.4303709,0.6822953,0.12596221
hsa:154,0.0993538,0.13731825,0.12358643,0.0549273,0.12843296,0.12358643,0.07673667,0.14135703,0.0638126,0.05088853,0.11560226,0.13823767,0.12449475,0.046079222,0.12206952,0.14308812,0.06952304,0.10670978,0.07113986,0.06305578,0.1302589,0.09466019,0.11326861,0.06634304,0.11407767,0.1658576,0.067152105,0.11165048,0.07928803,0.057443365,0.11497976,0.1271255,0.12226721,0.053441297,0.13117409,0.13360325,0.070445344,0.13765182,0.065587044,0.043724697,0.115883306,0.12965964,0.13533226,0.045380875,0.12884927,0.13452189,0.06482982,0.13290113,0.066450566,0.04619125,0.13706407,0.10786699,0.120032445,0.05352798,0.10786699,0.15085158,0.07461476,0.12246553,0.07461476,0.05109489,0.56003225,0.5278002,0.66881543,0.29814667,0.8783239,0.76954067,0.16518936,0.64061236,0.3545528,0.1369863,0.4879032,0.5604839,0.79838705,0.25,0.6008064,0.57258064,0.33870968,0.7177419,0.39919353,0.27419356,0.6497175,0.5084746,0.6497175,0.27037933,0.54075867,0.73042774,0.36319613,0.65375304,0.3793382,0.2542373,0.49676898,0.68659127,0.61793214,0.2746365,0.6421648,0.61793214,0.38368338,0.7067852,0.319063,0.25444266,0.57801133,0.69118834,0.6224737,0.2303961,0.6103476,0.7154406,0.34761518,0.5335489,0.3556993,0.31527892
hsa:64805,0.19219512,0.13365854,0.10439024,0.08097561,0.11707317,0.08487805,0.050731707,0.12585366,0.031219512,0.07902439,0.20019531,0.11425781,0.11425781,0.08203125,0.109375,0.09472656,0.044921875,0.11230469,0.04296875,0.08496094,0.18572825,0.112414464,0.1319648,0.08113392,0.11730205,0.08308896,0.038123168,0.12218964,0.04496579,0.08308896,0.1888454,0.12035225,0.10665362,0.08806262,0.11643836,0.090998046,0.04696673,0.13013698,0.0332681,0.078277886,0.18903036,0.13124388,0.13320275,0.069539666,0.11753183,0.09010774,0.033300687,0.10381979,0.041136142,0.09108717,0.19313726,0.10098039,0.11862745,0.09019608,0.110784315,0.087254904,0.04509804,0.124509804,0.047058824,0.08235294,1.0068094,0.5642023,0.6420233,0.3745136,0.7490272,0.4815175,0.08268482,0.7003891,0.14591439,0.25291827,1.0077896,0.49172345,0.59883153,0.42843235,0.47711784,0.39922103,0.28237584,0.67185974,0.23855892,0.40408957,1.0087719,0.54093564,0.6091618,0.39961013,0.579922,0.3703704,0.23879142,0.662768,0.23391813,0.35575047,0.9609756,0.6682927,0.5219512,0.40487802,0.58536583,0.42439026,0.25365853,0.6292683,0.15609756,0.39512193,1.0009766,0.57128906,0.57128906,0.41015625,0.546875,0.4736328,0.22460938,0.56152344,0.21484375,0.4248047
hsa:1814,0.092577145,0.1409508,0.11509591,0.0500417,0.13427857,0.14261885,0.07923269,0.13177648,0.068390325,0.04503753,0.11101837,0.120200336,0.13439065,0.041736227,0.122704506,0.16026711,0.06677797,0.105175294,0.08263773,0.05509182,0.11111111,0.113617375,0.14285715,0.040935673,0.116959065,0.16123642,0.065162905,0.11946533,0.078529656,0.050125312,0.11371238,0.1229097,0.12541807,0.04347826,0.11789297,0.13795987,0.08528428,0.13377926,0.07859532,0.0409699,0.09958159,0.11464435,0.1414226,0.046861924,0.11966527,0.14644352,0.07196653,0.12468619,0.08284519,0.051882844,0.10469012,0.10720268,0.14154103,0.047738694,0.113065325,0.16331658,0.06700168,0.13902847,0.07118928,0.04522613,0.43677205,0.5657238,0.79866886,0.22046588,0.89850247,0.81114805,0.12479201,0.62396,0.37853575,0.14143094,0.57868445,0.5578684,0.6452956,0.22897586,0.591174,0.69109076,0.41631973,0.64113235,0.43297255,0.21648628,0.5541667,0.55833334,0.6375,0.24583334,0.525,0.8125,0.39166665,0.6791667,0.35416666,0.24166666,0.46288574,0.704754,0.57547957,0.2502085,0.6713928,0.71309423,0.39616346,0.6588824,0.3419516,0.22518766,0.55509186,0.6010017,0.67195326,0.20868114,0.6135225,0.8013356,0.33388984,0.52587646,0.41318864,0.2754591
