,hsa338442,hsa1812,hsa1813,hsa5739,hsa9052,hsa148,hsa153,hsa154,hsa64805,hsa1814,hsa4986,hsa1128,hsa1129,hsa1131,hsa1132,hsa1133,hsa150,hsa151,hsa3577,hsa5731,hsa5732,hsa134,hsa135,hsa140,hsa11255,hsa3269,hsa59340,hsa2550,hsa146,hsa147,hsa155,hsa1816,hsa3356,hsa3360,hsa152,hsa1815,hsa3350,hsa3351,hsa3352,hsa3354,hsa3355,hsa3357,hsa3358,hsa3361,hsa3362,hsa3363,hsa3274,hsa4988,hsa1268,hsa6915,hsa5737,hsa136,hsa185,hsa10800,hsa1241,hsa56413,hsa57105,hsa5733,hsa6751,hsa6752,hsa8843,hsa10161,hsa2846,hsa5028,hsa5029,hsa5030,hsa5031,hsa5032,hsa9934,hsa4985,hsa2911,hsa2912,hsa2913,hsa2914,hsa2915,hsa2916,hsa2917,hsa2918,hsa222545,hsa1909,hsa1910,hsa552,hsa554,hsa9283,hsa5724,hsa23620,hsa7201,hsa6753,hsa6755,hsa4543,hsa1234,hsa886,hsa887,hsa5729,hsa6010
hsa338442,1,0.05093167701863354,0.03865336658354115,0.04161073825503356,0.05726256983240224,0.04242424242424243,0.034688995215311005,0.03626943005181347,0.05135520684736091,0.04216073781291173,0.04871447902571042,0.030525030525030524,0.044848484848484846,0.0547945205479452,0.027446300715990454,0.030303030303030304,0.024271844660194174,0.03584672435105068,0.0380818053596615,0.03810775295663601,0.04184100418410042,0.04817518248175182,0.03501945525291829,0.03988183161004431,0.046019900497512436,0.04373522458628842,0.03871829105473965,0.041666666666666664,0.050483351235230935,0.05005688282138794,0.03129074315514994,0.04784688995215311,0.04819277108433735,0.03748326639892905,0.03288672350791717,0.04627249357326478,0.03713188220230474,0.04672897196261682,0.03260869565217391,0.04419889502762431,0.041379310344827586,0.05357142857142857,0.03671970624235006,0.030726256983240222,0.0425531914893617,0.0477326968973747,0.04894179894179894,0.04216073781291173,0.03850782190132371,0.04131054131054131,0.027855153203342618,0.03907380607814761,0.05153203342618384,0.05172413793103448,0.0450070323488045,0.04602510460251046,0.062411347517730496,0.042723631508678236,0.052,0.038461538461538464,0.41823056300268097,0.059743954480796585,0.04938271604938271,0.04644808743169399,0.043478260869565216,0.04696132596685083,0.050946142649199416,0.03819918144611187,0.043041606886657105,0.04103967168262654,0.0489375402446877,0.045491470349309504,0.03715670436187399,0.04799370574350905,0.047103755569700825,0.04449838187702265,0.041601255886970175,0.04104183109707971,0.04046692607003891,0.03816793893129771,0.04119850187265917,0.04504504504504504,0.03972602739726028,0.034523809523809526,0.0442225392296719,0.045513654096228866,0.043593130779392336,0.05662805662805663,0.04564315352697095,0.039492242595204514,0.04922644163150492,0.04193138500635324,0.04590570719602978,0.04735376044568245,0.039603960396039604
hsa1812,0.05093167701863354,1,0.07344632768361582,0.06159420289855073,0.04005006257822278,0.07378854625550661,0.06420021762785637,0.047953216374269005,0.04336734693877551,0.08788598574821853,0.05596107055961071,0.052106430155210645,0.046255506607929514,0.05232558139534884,0.053203040173724216,0.061601642710472276,0.05622932745314223,0.0515695067264574,0.056818181818181816,0.041469194312796206,0.05625,0.05078125,0.040983606557377046,0.05,0.060879368658399095,0.0527448869752422,0.051682692307692304,0.05274411974340699,0.0670611439842209,0.07380457380457381,0.052941176470588235,0.18498367791077258,0.06462212486308871,0.06265060240963856,0.061946902654867256,0.04878048780487805,0.0625,0.057692307692307696,0.0695970695970696,0.07806691449814127,0.06064356435643564,0.06608884073672806,0.06555555555555556,0.056320400500625784,0.06349206349206349,0.06731813246471227,0.06555423122765197,0.04513064133016627,0.05908096280087528,0.049681528662420385,0.04744069912609238,0.059431524547803614,0.039950062421972535,0.051347881899871634,0.05163727959697733,0.0475,0.04060913705583756,0.04326923076923077,0.060024009603841535,0.051787916152897656,0.04825090470446321,0.05216284987277354,0.059113300492610835,0.049079754601226995,0.040293040293040296,0.03841387856257745,0.04285714285714286,0.04534313725490196,0.04358974358974359,0.05528255528255528,0.06356968215158924,0.05098934550989345,0.04844814534443603,0.05465288035450517,0.062273276904474005,0.053828658074298714,0.04863669859985262,0.05555555555555555,0.05263157894736842,0.04142692750287687,0.042986425339366516,0.04534883720930233,0.04920049200492005,0.04333694474539545,0.039540816326530615,0.05046948356807512,0.04523809523809524,0.05,0.05707196029776675,0.04292929292929293,0.05037783375314862,0.06436781609195402,0.0562429696287964,0.04868913857677903,0.030379746835443037
hsa1813,0.03865336658354115,0.07344632768361582,1,0.03272727272727273,0.032663316582914576,0.06740331491712707,0.07314410480349345,0.07981220657276995,0.03585147247119078,0.1573301549463647,0.05128205128205128,0.03781979977753059,0.041988950276243095,0.05053449951409135,0.0457516339869281,0.04325437693099897,0.06084070796460177,0.0562429696287964,0.043092522179974654,0.05112960760998811,0.05269761606022585,0.058823529411764705,0.0564042303172738,0.05151915455746367,0.06447963800904978,0.04427645788336933,0.05548854041013269,0.05071428571428571,0.06923837784371908,0.08029197080291971,0.05785123966942149,0.06331877729257641,0.06373626373626373,0.05078597339782346,0.06437291897891231,0.06643356643356643,0.05110336817653891,0.06996381182147166,0.0784313725490196,0.06467661691542288,0.05714285714285714,0.06521739130434782,0.06243032329988852,0.05150753768844221,0.051194539249146756,0.06753812636165578,0.06578947368421052,0.05125148986889154,0.05159165751920966,0.04219948849104859,0.03258145363408521,0.042801556420233464,0.04887218045112782,0.05283505154639175,0.045512010113780026,0.037641154328732745,0.04076433121019108,0.047044632086851626,0.043373493975903614,0.050742574257425746,0.03753026634382567,0.034482758620689655,0.04573547589616811,0.038177339901477834,0.04779411764705882,0.03482587064676617,0.041720990873533245,0.03936039360393604,0.03861003861003861,0.05425400739827373,0.05572565829761176,0.04271548436308162,0.04400606980273141,0.0458919319022946,0.04542701393095094,0.050911854103343465,0.050221565731166914,0.05270972531551596,0.047619047619047616,0.042725173210161664,0.046538024971623154,0.040840140023337225,0.03580246913580247,0.04456521739130435,0.04865556978233035,0.0624263839811543,0.05137395459976105,0.05367561260210035,0.053549190535491904,0.045627376425855515,0.05056890012642225,0.04152249134948097,0.04853273137697517,0.03759398496240601,0.03939008894536213
hsa5739,0.04161073825503356,0.06159420289855073,0.03272727272727273,1,0.06089309878213803,0.049528301886792456,0.06169965075669383,0.04025157232704402,0.04419889502762431,0.058823529411764705,0.05380577427821522,0.055819477434679333,0.041273584905660375,0.04526748971193416,0.05574912891986063,0.05579868708971553,0.05194805194805195,0.055288461538461536,0.04234972677595628,0.10331632653061225,0.0918918918918919,0.04943502824858757,0.05793450881612091,0.03857142857142857,0.05441354292623942,0.0379746835443038,0.03756476683937824,0.054355919583023084,0.07442348008385745,0.05321507760532151,0.06582278481012659,0.04190919674039581,0.05275498241500586,0.03766233766233766,0.06279620853080568,0.05867665418227216,0.03980099502487562,0.03756476683937824,0.03293807641633729,0.04551539491298527,0.03609625668449198,0.038238702201622246,0.039285714285714285,0.05142083897158322,0.07177615571776155,0.0429732868757259,0.05006418485237484,0.04475703324808184,0.05035128805620609,0.08275862068965517,0.06342780026990553,0.058823529411764705,0.0310391363022942,0.03477051460361613,0.07084468664850137,0.06621621621621622,0.03021978021978022,0.06994818652849741,0.040103492884864166,0.047936085219707054,0.04031209362808843,0.027548209366391185,0.041223404255319146,0.039735099337748346,0.06060606060606061,0.06157965194109773,0.06338028169014084,0.06084656084656084,0.03333333333333333,0.05305039787798409,0.05266497461928934,0.0685805422647528,0.04203013481363997,0.04714064914992272,0.05834378920953576,0.06274821286735505,0.04317656129529684,0.04263565891472868,0.05122324159021407,0.03584672435105068,0.04854368932038835,0.0375,0.07171314741035857,0.06952491309385864,0.04005524861878453,0.07196969696969698,0.04358974358974359,0.04875,0.05361930294906166,0.03961748633879782,0.04087193460490463,0.04567901234567901,0.06996381182147166,0.08771929824561403,0.0273972602739726
hsa9052,0.05726256983240224,0.04005006257822278,0.032663316582914576,0.06089309878213803,1,0.0463980463980464,0.04578313253012048,0.02741514360313316,0.03741007194244604,0.033200531208499334,0.0286493860845839,0.05043050430504305,0.042735042735042736,0.044538706256627786,0.039663461538461536,0.0384180790960452,0.03667481662591687,0.0460772104607721,0.06116642958748222,0.04105960264900662,0.03938115330520394,0.036818851251840944,0.043137254901960784,0.043219076005961254,0.05513784461152882,0.04047619047619048,0.039030955585464336,0.05098934550989345,0.03891891891891892,0.046964490263459335,0.0328515111695138,0.03734939759036145,0.05703883495145631,0.033738191632928474,0.033128834355828224,0.042746113989637305,0.03483870967741935,0.04576043068640646,0.0410958904109589,0.02924791086350975,0.037552155771905425,0.06115107913669065,0.04438964241676942,0.04507042253521127,0.04287515762925599,0.046875,0.03866666666666667,0.03187250996015936,0.044848484848484846,0.04310344827586207,0.0449438202247191,0.03941605839416058,0.0449438202247191,0.0463768115942029,0.04680851063829787,0.046413502109704644,0.044349070100143065,0.047106325706594884,0.0456989247311828,0.0332409972299169,0.043243243243243246,0.03012912482065997,0.04426002766251729,0.0440771349862259,0.045205479452054796,0.04178272980501393,0.03671071953010279,0.048143053645116916,0.053545586107091175,0.03310344827586207,0.05429864253393665,0.04979591836734694,0.052759740259740256,0.04901185770750988,0.04856230031948882,0.05121951219512195,0.04337539432176656,0.047581284694686754,0.04534792806880375,0.03205128205128205,0.03522012578616352,0.0324254215304799,0.04696132596685083,0.04316546762589928,0.053237410071942444,0.04456094364351245,0.03994673768308921,0.038910505836575876,0.02789400278940028,0.04267425320056899,0.05815602836879433,0.046094750320102434,0.05125,0.0449438202247191,0.03138373751783167
hsa148,0.04242424242424243,0.07378854625550661,0.06740331491712707,0.049528301886792456,0.0463980463980464,1,0.07135250266240682,0.05942857142857143,0.0472636815920398,0.07192575406032482,0.048693586698337295,0.049891540130151846,0.05495689655172414,0.058935361216730035,0.057385759829968117,0.05533199195171026,0.061488673139158574,0.0581140350877193,0.05172413793103448,0.04861111111111111,0.0524390243902439,0.05583756345177665,0.05491990846681922,0.05,0.05402425578831312,0.051633298208640675,0.05868544600938967,0.05551651440618412,0.11218568665377177,0.13747454175152748,0.06551724137931035,0.05750798722044728,0.06645230439442658,0.058823529411764705,0.07034632034632035,0.0510783200908059,0.06447963800904978,0.0715962441314554,0.0631704410011919,0.056831922611850064,0.07004830917874397,0.07635206786850478,0.0641304347826087,0.07203907203907203,0.07095343680709534,0.06269925611052073,0.05587892898719441,0.04756380510440835,0.06316916488222699,0.05217391304347826,0.0438489646772229,0.05289672544080604,0.047503045066991476,0.05131414267834793,0.05036855036855037,0.04024390243902439,0.043316831683168314,0.03873239436619718,0.05744431418522861,0.05535499398315283,0.04122497055359246,0.04218362282878412,0.038461538461538464,0.041916167664670656,0.05601907032181168,0.05078597339782346,0.0379746835443038,0.041866028708133975,0.045,0.045563549160671464,0.049516908212560384,0.046476761619190406,0.0529455630126771,0.04730713245997089,0.056152927120669056,0.05601194921583271,0.048656499636891795,0.04890510948905109,0.051152737752161385,0.05961754780652419,0.06858407079646017,0.053409090909090906,0.060024009603841535,0.04559915164369035,0.046019900497512436,0.047018348623853214,0.05232558139534884,0.06818181818181818,0.059322033898305086,0.0603448275862069,0.05036855036855037,0.04269662921348315,0.047304730473047306,0.040194884287454324,0.03580246913580247
hsa153,0.034688995215311005,0.06420021762785637,0.07314410480349345,0.06169965075669383,0.04578313253012048,0.07135250266240682,1,0.11963882618510158,0.025766871165644172,0.06872852233676977,0.05158264947245018,0.04930332261521972,0.038338658146964855,0.05174035747883349,0.05042016806722689,0.042786069651741296,0.07356076759061833,0.06500541711809317,0.05953827460510328,0.07314285714285715,0.048134777376654635,0.052565707133917394,0.06666666666666667,0.05436156763590392,0.07298474945533769,0.046875,0.047508690614136734,0.0599721059972106,0.08133971291866028,0.06847935548841894,0.1543700340522134,0.06631578947368422,0.05826271186440678,0.06852497096399536,0.09304812834224599,0.08744394618834081,0.07374301675977654,0.0776361529548088,0.06941176470588235,0.0441527446300716,0.04886769964243146,0.0440251572327044,0.06229860365198711,0.060240963855421686,0.0963855421686747,0.06722689075630252,0.05747126436781609,0.046964490263459335,0.04656084656084656,0.05269607843137255,0.04567307692307692,0.05962732919254658,0.039663461538461536,0.037037037037037035,0.06909090909090909,0.06738868832731648,0.05372405372405373,0.054461181923522596,0.05787037037037037,0.0498812351543943,0.03837209302325582,0.03549571603427173,0.042704626334519574,0.03309692671394799,0.05529411764705883,0.07159904534606205,0.04744069912609238,0.048406139315230225,0.03329223181257707,0.06627218934911243,0.0653869226154769,0.07360594795539034,0.05103550295857988,0.04909747292418772,0.06468842729970327,0.06666666666666667,0.04971181556195965,0.04706734250543085,0.04717655468191565,0.04111111111111111,0.060109289617486336,0.038159371492704826,0.06398104265402843,0.05345911949685535,0.03680981595092025,0.0622876557191393,0.04362801377726751,0.0707070707070707,0.08243727598566308,0.053462940461725394,0.05333333333333334,0.05660377358490566,0.06304347826086956,0.055288461538461536,0.04263093788063337
hsa154,0.03626943005181347,0.047953216374269005,0.07981220657276995,0.04025157232704402,0.02741514360313316,0.05942857142857143,0.11963882618510158,1,0.03195739014647137,0.06180469715698393,0.03802281368821293,0.04027617951668585,0.04,0.05205205205205205,0.0472972972972973,0.04357066950053135,0.04805491990846682,0.047729918509895226,0.05533596837944664,0.040690505548705305,0.04302477183833116,0.053061224489795916,0.06211936662606577,0.05639614855570839,0.04215456674473068,0.029017857142857144,0.04630788485607009,0.04452554744525548,0.04994903160040775,0.05597416576964478,0.09791921664626684,0.062076749435665914,0.06136363636363636,0.06775407779171895,0.0505166475315729,0.035024154589371984,0.056558363417569195,0.05381727158948686,0.044529262086514,0.04392764857881137,0.05548387096774193,0.0696629213483146,0.05536332179930796,0.04308093994778068,0.03769140164899882,0.04054054054054054,0.04838709677419355,0.038318912237330034,0.049943246311010214,0.041223404255319146,0.049479166666666664,0.05128205128205128,0.055989583333333336,0.04691689008042895,0.04730617608409987,0.03129074315514994,0.04370860927152318,0.03754693366708386,0.0475,0.055269922879177376,0.0364321608040201,0.03851261620185923,0.03337612323491656,0.028132992327365727,0.031806615776081425,0.03617571059431524,0.035278154681139755,0.031928480204342274,0.05220883534136546,0.04865556978233035,0.043668122270742356,0.04215456674473068,0.05124223602484472,0.041635124905374715,0.04133251079580506,0.04510108864696734,0.0377643504531722,0.04403948367501898,0.05767790262172284,0.05741626794258373,0.04935370152761457,0.030229746070133012,0.03717948717948718,0.04719101123595506,0.04660452729693742,0.040293040293040296,0.03965303593556382,0.0471584038694075,0.045278137128072445,0.039525691699604744,0.05913272010512484,0.04540023894862605,0.0455607476635514,0.036458333333333336,0.046235138705416116
hsa64805,0.05135520684736091,0.04336734693877551,0.03585147247119078,0.04419889502762431,0.03741007194244604,0.0472636815920398,0.025766871165644172,0.03195739014647137,1,0.05555555555555555,0.037604456824512536,0.03759398496240601,0.03482587064676617,0.03556034482758621,0.03427172582619339,0.029885057471264367,0.034869240348692404,0.03426395939086294,0.0436046511627907,0.031081081081081083,0.020114942528735632,0.04066265060240964,0.04,0.028963414634146343,0.037037037037037035,0.041212121212121214,0.03708791208791209,0.03926096997690531,0.03736263736263736,0.05011655011655012,0.028150134048257374,0.03803680981595092,0.042027194066749075,0.030303030303030304,0.03875,0.03302509907529723,0.02894736842105263,0.034340659340659344,0.03076923076923077,0.044096728307254626,0.03835227272727273,0.03540903540903541,0.03768844221105527,0.03884892086330935,0.03984575835475578,0.04773561811505508,0.04217687074829932,0.04065040650406504,0.044444444444444446,0.048458149779735685,0.03873744619799139,0.028358208955223882,0.04878048780487805,0.04888888888888889,0.03188405797101449,0.027298850574712645,0.04678362573099415,0.04945054945054945,0.03429355281207133,0.03536067892503536,0.05379310344827586,0.05865102639296188,0.05649717514124294,0.029535864978902954,0.039160839160839164,0.041251778093883355,0.03453453453453453,0.03089887640449438,0.09023668639053255,0.023943661971830985,0.038511749347258484,0.045454545454545456,0.043549712407559574,0.044,0.03483870967741935,0.04279835390946502,0.04229848363926576,0.048154093097913325,0.048259493670886076,0.043137254901960784,0.03461538461538462,0.03835978835978836,0.02538787023977433,0.03540903540903541,0.052941176470588235,0.03609625668449198,0.035326086956521736,0.026455026455026454,0.038461538461538464,0.036337209302325583,0.04782608695652174,0.050913838120104436,0.04331210191082802,0.04878048780487805,0.03206997084548105
hsa1814,0.04216073781291173,0.08788598574821853,0.1573301549463647,0.058823529411764705,0.033200531208499334,0.07192575406032482,0.06872852233676977,0.06180469715698393,0.05555555555555555,1,0.04896907216494845,0.05023364485981308,0.042923433874709975,0.04766734279918864,0.056,0.05064655172413793,0.06039488966318235,0.05673758865248227,0.05361930294906166,0.043859649122807015,0.05968169761273209,0.054016620498614956,0.04826732673267327,0.05322128851540616,0.054696789536266346,0.05096262740656852,0.05979643765903308,0.050110537951363304,0.07644628099173553,0.07205240174672489,0.07960199004975124,0.06300114547537228,0.06920415224913495,0.06377551020408163,0.08041958041958042,0.07730061349693251,0.0550122249388753,0.06743002544529263,0.07115135834411385,0.07490144546649145,0.05643044619422572,0.05701254275940707,0.06323185011709602,0.05843293492695883,0.0645933014354067,0.061714285714285715,0.07187894073139975,0.052763819095477386,0.055299539170506916,0.05412719891745602,0.045033112582781455,0.050824175824175824,0.046357615894039736,0.05320600272851296,0.05614973262032086,0.04509283819628647,0.0444743935309973,0.047073791348600506,0.048284625158831,0.04967320261437908,0.04086845466155811,0.0445945945945946,0.05352480417754569,0.044213263979193757,0.056921086675291076,0.04862023653088042,0.04696132596685083,0.048051948051948054,0.031335149863760216,0.052083333333333336,0.052830188679245285,0.044952681388012616,0.05019607843137255,0.046636085626911315,0.0472636815920398,0.05106048703849175,0.04271548436308162,0.049079754601226995,0.05068078668683813,0.04495747266099635,0.06682577565632458,0.045454545454545456,0.048239895697522815,0.04561003420752566,0.03929539295392954,0.060794044665012405,0.06297229219143577,0.05773955773955774,0.05526315789473684,0.04423592493297587,0.0427807486631016,0.05339805825242718,0.05812574139976275,0.051655629139072845,0.041666666666666664
