Protein,Drug
hsa338442,D00049
hsa1812,D00059
hsa1813,D00059
hsa5739,D00079
hsa9052,D00094
hsa148,D00095
hsa153,D00095
hsa154,D00095
hsa64805,D00106
hsa1812,D00110
hsa1814,D00110
hsa4986,D00110
hsa1128,D00113
hsa1129,D00113
hsa1131,D00113
hsa1132,D00113
hsa1133,D00113
hsa150,D00136
hsa151,D00136
hsa1813,D00136
hsa1814,D00136
hsa3577,D00139
hsa5731,D00180
hsa5732,D00180
hsa5739,D00180
hsa3577,D00225
hsa134,D00227
hsa135,D00227
hsa140,D00227
hsa1128,D00232
hsa1129,D00232
hsa1131,D00232
hsa11255,D00234
hsa3269,D00234
hsa59340,D00234
hsa153,D00235
hsa154,D00235
hsa2550,D00241
hsa146,D00255
hsa147,D00255
hsa148,D00255
hsa150,D00255
hsa151,D00255
hsa153,D00255
hsa154,D00255
hsa155,D00255
hsa150,D00270
hsa151,D00270
hsa1812,D00270
hsa1813,D00270
hsa1814,D00270
hsa1816,D00270
hsa3356,D00270
hsa1128,D00274
hsa1129,D00274
hsa3360,D00274
hsa146,D00281
hsa147,D00281
hsa148,D00281
hsa150,D00281
hsa151,D00281
hsa152,D00281
hsa1128,D00283
hsa1129,D00283
hsa146,D00283
hsa147,D00283
hsa148,D00283
hsa150,D00283
hsa151,D00283
hsa1812,D00283
hsa1813,D00283
hsa1815,D00283
hsa1816,D00283
hsa3269,D00283
hsa3350,D00283
hsa3351,D00283
hsa3352,D00283
hsa3354,D00283
hsa3355,D00283
hsa3356,D00283
hsa3357,D00283
hsa3358,D00283
hsa3360,D00283
hsa3361,D00283
hsa3362,D00283
hsa3363,D00283
hsa59340,D00283
hsa3274,D00295
hsa11255,D00300
hsa3269,D00300
hsa59340,D00300
hsa4988,D00301
hsa1268,D00306
hsa11255,D00318
hsa3274,D00318
hsa59340,D00318
hsa134,D00332
hsa150,D00332
hsa6915,D00336
hsa5737,D00356
hsa3269,D00364
hsa136,D00371
hsa3577,D00380
hsa3577,D00394
hsa1128,D00397
hsa1129,D00397
hsa1132,D00397
hsa185,D00400
hsa3577,D00410
hsa10800,D00411
hsa1241,D00411
hsa56413,D00411
hsa57105,D00411
hsa3351,D00415
hsa3352,D00415
hsa5732,D00419
hsa5733,D00419
hsa3274,D00422
hsa146,D00426
hsa147,D00426
hsa148,D00426
hsa3356,D00426
hsa153,D00432
hsa154,D00432
hsa155,D00432
hsa146,D00437
hsa147,D00437
hsa148,D00437
hsa150,D00437
hsa151,D00437
hsa153,D00437
hsa154,D00437
hsa155,D00437
hsa3577,D00437
hsa3274,D00440
hsa6751,D00442
hsa6752,D00442
hsa185,D00443
hsa3350,D00451
hsa3351,D00451
hsa3352,D00451
hsa3354,D00451
hsa3355,D00451
hsa3356,D00451
hsa3357,D00451
hsa3358,D00451
hsa3360,D00451
hsa3361,D00451
hsa3362,D00451
hsa1128,D00454
hsa1129,D00454
hsa1131,D00454
hsa1132,D00454
hsa1133,D00454
hsa146,D00454
hsa147,D00454
hsa148,D00454
hsa150,D00454
hsa151,D00454
hsa153,D00454
hsa154,D00454
hsa155,D00454
hsa1812,D00454
hsa1813,D00454
hsa1814,D00454
hsa1815,D00454
hsa1816,D00454
hsa3269,D00454
hsa3356,D00454
hsa3358,D00454
hsa3362,D00454
hsa1128,D00465
hsa1129,D00465
hsa3269,D00480
hsa153,D00483
hsa154,D00483
hsa155,D00483
hsa1812,D00493
hsa1813,D00493
hsa1814,D00493
hsa1816,D00493
hsa3269,D00493
hsa3356,D00493
hsa11255,D00494
hsa1128,D00494
hsa1129,D00494
hsa1131,D00494
hsa1132,D00494
hsa1133,D00494
hsa148,D00494
hsa1813,D00494
hsa3269,D00494
hsa3356,D00494
hsa59340,D00494
hsa4988,D00498
hsa8843,D00499
hsa148,D00503
hsa1812,D00503
hsa1813,D00503
hsa1814,D00503
hsa146,D00509
hsa147,D00509
hsa148,D00509
hsa150,D00509
hsa151,D00509
hsa152,D00509
hsa146,D00513
hsa147,D00513
hsa148,D00513
hsa150,D00513
hsa151,D00513
hsa153,D00513
hsa154,D00513
hsa155,D00513
hsa3350,D00513
hsa3351,D00513
hsa3352,D00513
hsa3354,D00513
hsa3355,D00513
hsa3356,D00513
hsa3357,D00513
hsa3358,D00513
hsa3360,D00513
hsa3361,D00513
hsa3362,D00513
hsa150,D00514
hsa3269,D00520
hsa3269,D00521
hsa185,D00522
hsa185,D00523
hsa1128,D00524
hsa1129,D00524
