DrugID,SMILE
D00049,OC(=O)C1=CN=CC=C1
D00059,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
D00079,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
D00094,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
D00095,CNC[C@H](O)C1=CC(O)=C(O)C=C1
D00106,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O
D00110,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C
D00113,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
D00136,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
D00139,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
D00180,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
D00225,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
D00227,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
D00232,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C
D00234,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
D00235,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
D00241,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
D00255,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
D00270,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
D00274,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC
D00281,ClC1=CC=CC(Cl)=C1NC1=NCCN1
D00283,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
D00295,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N
D00300,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
D00301,CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1
D00306,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1
D00318,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
D00332,NCC1(CC(O)=O)CCCCC1
D00336,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
D00356,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1
D00364,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
D00371,CN1C2=C(NC=N2)C(=O)N(C)C1=O
D00380,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
D00394,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
D00397,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1
D00400,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
D00410,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1
D00411,COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C
D00415,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12
D00419,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
D00422,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O
D00426,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
D00432,CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2
D00437,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
D00440,CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O
D00442,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O
D00443,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
D00451,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1
D00454,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
D00465,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
D00480,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl
D00483,CC(C)NCC(O)COc1cccc2ccccc12.Cl
D00493,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
D00494,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
D00498,C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C
D00499,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
D00503,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
D00509,CS(=O)(=O)O.Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
D00513,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2
D00514,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1
D00520,CN1C2=C(N=C(Cl)N2)C(=O)N(C)C1=O.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
D00521,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
D00522,CCOC1=NC2=CC=CC(C(O)=O)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1
D00523,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
D00524,C[N+](C)(C)CCOC(N)=O
D00525,CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O
D00528,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
D00540,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1
D00542,[H]C(Cl)(Br)C(F)(F)F
D00559,CCCN[C@H]1CCC2=C(C1)SC(N)=N2
D00560,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
D00563,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1
D00574,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
D00598,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl
D00601,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1.O=C(O)[C@H](O)[C@@H](O)C(=O)O
D00604,Cl.Clc1cccc(Cl)c1NC1=NCCN1
D00606,Cl.N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
D00607,N=C(N)NCC1COC2(CCCCC2)O1.N=C(N)NCC1COC2(CCCCC2)O1.O=S(=O)(O)O
D00609,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC.Cl
D00613,OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12
D00627,CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O
D00632,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1.Cl
D00635,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1.O=C(O)CCC(=O)O
D00645,CC[N+](C)(C)CC1=CC=CC=C1Br
D00646,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C
D00665,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
D00666,C1=CC=C(C=C1)C(=O)NNC(=O)COC(=O)C2=CC=C(S2)C3=CC=C(C=C3)Cl
D00673,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.Cl
D00674,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1.Cl
D00675,CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2
D00676,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1.O=C(O)CCC(=O)O
D00682,NC(CO)(CO)CO.CCCCC[C@](C)(O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
D00683,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.O=S(=O)(O)O
D00684,CS(=O)(=O)O.Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1
D00687,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
D00688,CC(C)(C)NCC(O)c1cc(O)cc(O)c1.CC(C)(C)NCC(O)c1cc(O)cc(O)c1.O=S(=O)(O)O
D00715,[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1
D00726,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
