DrugID,SMILE
D00035,OC(=O)[C@@H]1CCCN1
D00110,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C
D00136,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
D00195,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314.O
D00219,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
D00225,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
D00227,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
D00228,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
D00234,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
D00252,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
D00274,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC
D00283,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
D00293,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
D00294,CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2
D00303,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
D00319,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC
D00326,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
D00329,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
D00331,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O
D00332,NCC1(CC(O)=O)CCCCC1
D00335,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
D00336,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
D00338,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
D00340,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
D00345,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O
D00349,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
D00351,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
D00354,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1
D00358,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
D00364,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
D00367,OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1
D00373,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
D00379,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
D00380,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
D00392,CN1C(=O)OC(C)(C)C1=O
D00394,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
D00418,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1
D00437,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
D00438,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C
D00451,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1
D00456,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
D00464,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
D00474,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
D00477,CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl
D00480,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl
D00495,CCC1(C)OC(=O)N(C)C1=O
D00499,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
D00504,NC(=O)NC(=O)CC1=CC=CC=C1
D00512,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
D00513,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2
D00519,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1
D00521,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
D00524,C[N+](C)(C)CCOC(N)=O
D00528,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
D00530,CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N
D00533,NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2
D00536,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
D00537,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
D00538,NS(=O)(=O)CC1=NOC2=CC=CC=C12
D00539,CCC1(C)CC(=O)NC1=O
D00542,[H]C(Cl)(Br)C(F)(F)F
D00543,FC(F)OC(F)(F)C(F)Cl
D00544,COC(F)(F)C(Cl)Cl
D00545,FC(F)OC(Cl)C(F)(F)F
D00546,FC(F)OC(F)C(F)(F)F
D00547,FCOC(C(F)(F)F)C(F)(F)F
D00548,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
D00549,CC(C)C1=CC=CC(C(C)C)=C1O
D00550,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12
D00552,CCOC(=O)C1=CC=C(N)C=C1
D00553,CCCNC(C)C(=O)NC1=CC=CC=C1C
D00560,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
D00563,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1
D00574,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
D00593,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
D00594,CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O
D00607,N=C(N)NCC1COC2(CCCCC2)O1.N=C(N)NCC1COC2(CCCCC2)O1.O=S(=O)(O)O
D00611,CNC1(C)C2CCC(C2)C1(C)C.Cl
D00615,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
D00616,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl
D00617,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl
D00618,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C
D00619,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl
D00629,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC
D00631,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1.Cl.O
D00633,Cl.NCCc1ccc(O)c(O)c1
D00636,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl
D00638,CC(=O)O.O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
D00639,Cc1cccc(C)c1OCC(C)N.Cl
D00640,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1.Cl
D00642,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
D00647,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
D00648,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
D00649,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N.O.O
D00650,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
D00651,NS(=O)(=O)C1=CC2=C(C=C1Cl)N=C(CSCC1=CC=CC=C1)NS2(=O)=O
D00654,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F
D00656,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
D00658,NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C(Cl)Cl
