Protein,Drug
hsa6095,D00040
hsa2099,D00066
hsa5241,D00066
hsa2099,D00067
hsa367,D00075
hsa2908,D00088
hsa190,D00094
hsa5914,D00094
hsa5915,D00094
hsa5916,D00094
hsa6096,D00094
hsa6097,D00094
hsa6256,D00094
hsa6257,D00094
hsa6258,D00094
hsa2099,D00105
hsa2100,D00105
hsa7421,D00129
hsa8856,D00143
hsa9971,D00163
hsa5241,D00182
hsa7421,D00187
hsa7421,D00188
hsa8856,D00211
hsa2908,D00246
hsa5465,D00279
hsa7421,D00299
hsa2099,D00312
hsa5914,D00316
hsa5915,D00316
hsa5916,D00316
hsa6256,D00316
hsa6257,D00316
hsa6258,D00316
hsa2099,D00327
hsa367,D00327
hsa5914,D00348
hsa4306,D00443
hsa367,D00462
hsa9970,D00506
hsa2099,D00554
hsa5465,D00565
hsa2099,D00577
hsa2100,D00577
hsa2101,D00577
hsa2103,D00577
hsa2104,D00577
hsa2908,D00585
hsa367,D00585
hsa4306,D00585
hsa5241,D00585
hsa367,D00586
hsa5468,D00596
hsa5468,D00627
hsa5241,D00690
hsa8856,D00730
hsa2099,D00898
hsa7421,D00930
hsa2099,D00950
hsa5241,D00950
hsa5241,D00951
hsa2099,D00954
hsa5241,D00954
hsa367,D00956
hsa367,D00961
hsa2099,D00962
hsa367,D00965
hsa4306,D01115
hsa5914,D01132
hsa5915,D01132
hsa5916,D01132
hsa6096,D01132
hsa6256,D01132
hsa6257,D01132
hsa6258,D01132
hsa2099,D01161
hsa2100,D01161
hsa5241,D01217
hsa2099,D01294
hsa5241,D01294
hsa2908,D01387
hsa6095,D01441
hsa2908,D01689
hsa2099,D02217
hsa2100,D02217
hsa2099,D02367
hsa5241,D02367
hsa2099,D04066
hsa2100,D04066
hsa3174,D05341
